start_seconds,end_seconds,type,filename_png,filename_svg,purpose,source_text
0,0,full-screen,visuals/png/cover.png,visuals/svg/cover.svg,Cover / thumbnail frame,נתתי לקלוד ריל / 12 דקות אחר כך: פירוק מלא
0,2,overlay,visuals/overlays/overlay-shot1.png,visuals/overlays/overlay-shot1.svg,"Branded frame overlay for shot 1 (hook) — transparent recording window, real footage placed underneath in CapCut",נתתי לקלוד ריל
0,2,manual-recording-slot,visuals/png/slot-shot1.png,visuals/svg/slot-shot1.svg,"Manual screen-recording slot placeholder — shot 1 (NOT final, timeline reference only)","ההקלטה האמיתית: הדבקת קישור הרפרנס והרצת /watch, הוכחה מהפריים הראשון"
2,4,overlay,visuals/overlays/overlay-shot2.png,visuals/overlays/overlay-shot2.svg,"Branded frame overlay for shot 2 (payoff) — transparent recording window, real footage placed underneath in CapCut","12 דקות אחר כך: פירוק מלא של ההוק, החיתוכים וה-CTA"
2,4,manual-recording-slot,visuals/png/slot-shot2.png,visuals/svg/slot-shot2.svg,"Manual screen-recording slot placeholder — shot 2 (NOT final, timeline reference only)","jump-cut קדימה לפלט המוגמר, גלילת ציר הסצנות האמיתי"
4,8,overlay,visuals/overlays/overlay-shot3.png,visuals/overlays/overlay-shot3.svg,"Branded frame overlay for shot 3 (text) — transparent recording window, real footage placed underneath in CapCut",יכולת בשם /watch שחיברתי ל-Claude Code
4,8,manual-recording-slot,visuals/png/slot-shot3.png,visuals/svg/slot-shot3.svg,"Manual screen-recording slot placeholder — shot 3 (NOT final, timeline reference only)",חזרה כרונולוגית לרצף הריצה (progress)
8,11,overlay,visuals/overlays/overlay-shot4.png,visuals/overlays/overlay-shot4.svg,"Branded frame overlay for shot 4 (step) — transparent recording window, real footage placed underneath in CapCut",מורידה את הסרטון · מוציאה פריימים
8,11,overlay,visuals/overlays/step-badge-4.png,visuals/overlays/step-badge-4.svg,Optional step-progress badge for shot 4 (light zoom/whip layer per package.md),שלב 1
8,11,manual-recording-slot,visuals/png/slot-shot4.png,visuals/svg/slot-shot4.svg,"Manual screen-recording slot placeholder — shot 4 (NOT final, timeline reference only)",שורת ההורדה ופלט חילוץ הפריימים
11,15,overlay,visuals/overlays/overlay-shot5.png,visuals/overlays/overlay-shot5.svg,"Branded frame overlay for shot 5 (step) — transparent recording window, real footage placed underneath in CapCut",מתמללת · בונה ציר סצנות מלא
11,15,overlay,visuals/overlays/step-badge-5.png,visuals/overlays/step-badge-5.svg,Optional step-progress badge for shot 5 (light zoom/whip layer per package.md),שלב 2
11,15,manual-recording-slot,visuals/png/slot-shot5.png,visuals/svg/slot-shot5.svg,"Manual screen-recording slot placeholder — shot 5 (NOT final, timeline reference only)",גלילת התמלול ואז ציר הסצנות
15,18,overlay,visuals/overlays/overlay-shot6.png,visuals/overlays/overlay-shot6.svg,"Branded frame overlay for shot 6 (step) — transparent recording window, real footage placed underneath in CapCut",לומדת מהמבנה
15,18,overlay,visuals/overlays/step-badge-6.png,visuals/overlays/step-badge-6.svg,Optional step-progress badge for shot 6 (light zoom/whip layer per package.md),שלב 3
15,18,manual-recording-slot,visuals/png/slot-shot6.png,visuals/svg/slot-shot6.svg,"Manual screen-recording slot placeholder — shot 6 (NOT final, timeline reference only)",הניתוח הסופי מוצג במלואו
18,21,overlay,visuals/overlays/overlay-shot7.png,visuals/overlays/overlay-shot7.svg,"Branded frame overlay for shot 7 (step) — transparent recording window, real footage placed underneath in CapCut",בלי להעתיק את התוכן
18,21,overlay,visuals/overlays/step-badge-7.png,visuals/overlays/step-badge-7.svg,Optional step-progress badge for shot 7 (light zoom/whip layer per package.md),שלב 4
18,21,manual-recording-slot,visuals/png/slot-shot7.png,visuals/svg/slot-shot7.svg,"Manual screen-recording slot placeholder — shot 7 (NOT final, timeline reference only)",זום קל על שורות ההוק/החיתוכים בניתוח
21,25,full-screen,visuals/png/cta-shot8.png,visuals/svg/cta-shot8.svg,CTA card — shot 8 (headline style),3 השאלות שאני שואלת לפני שאני כותבת?
25,28,full-screen,visuals/png/cta-shot9.png,visuals/svg/cta-shot9.svg,CTA + Outro card — shot 9 (solid button style),כתבו 'תחקיר' + @shani.creates.ai
