start_seconds,end_seconds,type,filename_png,filename_svg,purpose,source_text
0,0,full-screen,visuals/png/cover.png,visuals/svg/cover.svg,Cover / thumbnail frame (approved composition),קובץ אחד גרם לקלוד קוד להפסיק לעשות שלושה דברים שעיצבנו אותי בכל פרויקט. / CLAUDE.md = כללי העבודה של הפרויקט
0,3,overlay,visuals/overlays/overlay-shot1.png,visuals/overlays/overlay-shot1.svg,"Branded frame overlay for shot 1 (hook) — transparent recording window, real footage placed underneath in CapCut",3 הרגלים שעצרתי עם קובץ אחד
0,3,manual-recording-slot,visuals/png/slot-shot1.png,visuals/svg/slot-shot1.svg,"Manual screen-recording slot placeholder — shot 1 (NOT final, timeline reference only)","פתיחת הפרויקט, קובץ CLAUDE.md האמיתי בעורך — ההוק כטקסט על גבי ההקלטה עצמה"
3,6,overlay,visuals/overlays/overlay-shot2.png,visuals/overlays/overlay-shot2.svg,"Branded frame overlay for shot 2 (intro) — transparent recording window, real footage placed underneath in CapCut",CLAUDE.md = כללי העבודה של הפרויקט
3,6,manual-recording-slot,visuals/png/slot-shot2.png,visuals/svg/slot-shot2.svg,"Manual screen-recording slot placeholder — shot 2 (NOT final, timeline reference only)","המשך אותה הקלטה — גלילה קלה לראש הקובץ, מציגה את שם הקובץ"
6,11,overlay,visuals/overlays/overlay-shot3.png,visuals/overlays/overlay-shot3.svg,"Branded frame overlay for shot 3 (content) — transparent recording window, real footage placed underneath in CapCut",1. בלי בנייה מוגזמת
6,11,manual-recording-slot,visuals/png/slot-shot3.png,visuals/svg/slot-shot3.svg,"Manual screen-recording slot placeholder — shot 3 (NOT final, timeline reference only)","גלילה בקובץ האמיתי לסעיף ""העדפות תקשורת"", התמקדות בשורה ""לא לבנות מערכת רחבה כשביקשתי שינוי ממוקד..."""
11,16,overlay,visuals/overlays/overlay-shot4.png,visuals/overlays/overlay-shot4.svg,"Branded frame overlay for shot 4 (content) — transparent recording window, real footage placed underneath in CapCut",2. בלי להמציא מידע
11,16,manual-recording-slot,visuals/png/slot-shot4.png,visuals/svg/slot-shot4.svg,"Manual screen-recording slot placeholder — shot 4 (NOT final, timeline reference only)","המשך אותו סעיף — התמקדות בשורה ""לא להמציא פרטים על מיתוג, קוד קיים, אינטגרציות, לקוחות, תמחור או סטטוס מוצר"""
16,21,overlay,visuals/overlays/overlay-shot5.png,visuals/overlays/overlay-shot5.svg,"Branded frame overlay for shot 5 (content) — transparent recording window, real footage placed underneath in CapCut","3. ביקורת אמיתית, לא ליטופים"
16,21,manual-recording-slot,visuals/png/slot-shot5.png,visuals/svg/slot-shot5.svg,"Manual screen-recording slot placeholder — shot 5 (NOT final, timeline reference only)","המשך אותו סעיף — התמקדות בשורה ""כנות אנליטית. לא להסכים אוטומטית ולא לרצות אותי..."""
21,25,overlay,visuals/overlays/overlay-shot6.png,visuals/overlays/overlay-shot6.svg,"Branded frame overlay for shot 6 (closing) — transparent recording window, real footage placed underneath in CapCut",קובץ אחד. הקשר קבוע.
21,25,manual-recording-slot,visuals/png/slot-shot6.png,visuals/svg/slot-shot6.svg,"Manual screen-recording slot placeholder — shot 6 (NOT final, timeline reference only)","סגירת חלון העורך / זום-אאוט כללי על הקובץ הפתוח — משפט סיכום, לא הדגמה חדשה"
25,30,full-screen,visuals/png/cta-shot7.png,visuals/svg/cta-shot7.svg,CTA/Outro card — shot 7 (solid button style),כתבו 'הנחיות' / לקבלת רשימת הכללים המלאה + @shani.creates.ai
